task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
uas, full-train, 0.1, 0.1, 32770, 100000, sme, 2, 60.68
uas, full-train, 0.1, 0.1, 32770, 100000, sme, 3, 61.43
uas, full-train, 0.1, 0.1, 32770, 100000, sme, 4, 62.18
uas, full-train, 0.1, 0.1, 32770, 100000, et, 1, 84.01
uas, full-train, 0.1, 0.1, 32770, 100000, et, 2, 84.23
uas, full-train, 0.1, 0.1, 32770, 100000, et, 3, 84.25
uas, full-train, 0.1, 0.1, 32770, 100000, et, 4, 84.13
uas, full-train, 0.1, 0.1, 32770, 100000, fi, 1, 93.45
uas, full-train, 0.1, 0.1, 32770, 100000, fi, 2, 93.6
uas, full-train, 0.1, 0.1, 32770, 100000, fi, 3, 93.6
uas, full-train, 0.1, 0.1, 32770, 100000, fi, 4, 93.6
uas, full-train, 0.1, 0.1, 32770, 100000, hu, 1, 82.91
uas, full-train, 0.1, 0.1, 32770, 100000, hu, 2, 75.73
uas, full-train, 0.1, 0.1, 32770, 100000, hu, 3, 79.09
uas, full-train, 0.1, 0.1, 32770, 100000, hu, 4, 80.74
uas, full-train, 0.1, 0.1, 32770, 100000, ru, 1, 94.42
uas, full-train, 0.1, 0.1, 32770, 100000, ru, 2, 94.6
uas, full-train, 0.1, 0.1, 32770, 100000, ru, 3, 94.55
uas, full-train, 0.1, 0.1, 32770, 100000, ru, 4, 94.68
uas, few-shot, 0.1, 0.2, 32770, 200000, myv, 1, 55.5
uas, few-shot, 0.1, 0.2, 32770, 200000, myv, 2, 50.53
uas, few-shot, 0.1, 0.2, 32770, 200000, myv, 3, 53.61
uas, few-shot, 0.1, 0.2, 32770, 200000, myv, 4, 52.78
uas, few-shot, 0.1, 0.2, 32770, 200000, sme, 1, 44.14
uas, few-shot, 0.1, 0.2, 32770, 200000, sme, 2, 43.96
uas, few-shot, 0.1, 0.2, 32770, 200000, sme, 3, 46.05
uas, few-shot, 0.1, 0.2, 32770, 200000, sme, 4, 45.87
uas, few-shot, 0.1, 0.2, 32770, 200000, et, 1, 51.91
uas, few-shot, 0.1, 0.2, 32770, 200000, et, 2, 56.69
uas, few-shot, 0.1, 0.2, 32770, 200000, et, 3, 54.73
uas, few-shot, 0.1, 0.2, 32770, 200000, et, 4, 54.76
uas, few-shot, 0.1, 0.2, 32770, 200000, fi, 1, 70.48
uas, few-shot, 0.1, 0.2, 32770, 200000, fi, 2, 72.22
uas, few-shot, 0.1, 0.2, 32770, 200000, fi, 3, 73.11
uas, few-shot, 0.1, 0.2, 32770, 200000, fi, 4, 70.11
uas, few-shot, 0.1, 0.2, 32770, 200000, hu, 1, 66.88
uas, few-shot, 0.1, 0.2, 32770, 200000, hu, 2, 69.69
uas, few-shot, 0.1, 0.2, 32770, 200000, hu, 3, 64.88
uas, few-shot, 0.1, 0.2, 32770, 200000, hu, 4, 71.66
uas, few-shot, 0.1, 0.2, 32770, 200000, ru, 1, 73.28
uas, few-shot, 0.1, 0.2, 32770, 200000, ru, 2, 69.3
uas, few-shot, 0.1, 0.2, 32770, 200000, ru, 3, 73.66
uas, few-shot, 0.1, 0.2, 32770, 200000, ru, 4, 72.48
uas, zero-shot, 0.2, 0.3, 16386, 100000, kpv, 1, 62.03
uas, zero-shot, 0.2, 0.3, 16386, 100000, krl, 1, 62.86
uas, zero-shot, 0.2, 0.3, 16386, 100000, mdf, 1, 57.9
uas, zero-shot, 0.2, 0.3, 16386, 100000, olo, 1, 62.1
uas, zero-shot, 0.2, 0.3, 16386, 100000, sms, 1, 44.51
uas, zero-shot, 0.2, 0.3, 16386, 100000, kpv, 2, 63.07
uas, zero-shot, 0.2, 0.3, 16386, 100000, krl, 2, 62.25
uas, zero-shot, 0.2, 0.3, 16386, 100000, mdf, 2, 58.66
uas, zero-shot, 0.2, 0.3, 16386, 100000, olo, 2, 63.31
uas, zero-shot, 0.2, 0.3, 16386, 100000, sms, 2, 45.48
uas, zero-shot, 0.2, 0.3, 16386, 100000, kpv, 3, 63.23
uas, zero-shot, 0.2, 0.3, 16386, 100000, krl, 3, 63.38
uas, zero-shot, 0.2, 0.3, 16386, 100000, mdf, 3, 58.25
uas, zero-shot, 0.2, 0.3, 16386, 100000, olo, 3, 62.7
uas, zero-shot, 0.2, 0.3, 16386, 100000, sms, 3, 44.68
