task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
pos, zero-shot, NA, 0.1, 0, 100000, kpv, 2, 70.88
pos, zero-shot, NA, 0.1, 0, 100000, krl, 2, 85.26
pos, zero-shot, NA, 0.1, 0, 100000, mdf, 2, 73.24
pos, zero-shot, NA, 0.1, 0, 100000, olo, 2, 82.46
pos, zero-shot, NA, 0.1, 0, 100000, sms, 2, 55.42
pos, zero-shot, NA, 0.1, 0, 100000, kpv, 3, 72.19
pos, zero-shot, NA, 0.1, 0, 100000, krl, 3, 85.81
pos, zero-shot, NA, 0.1, 0, 100000, mdf, 3, 73.24
pos, zero-shot, NA, 0.1, 0, 100000, olo, 3, 83.2
pos, zero-shot, NA, 0.1, 0, 100000, sms, 3, 58.11
pos, zero-shot, NA, 0.1, 0, 100000, kpv, 4, 71.64
pos, zero-shot, NA, 0.1, 0, 100000, krl, 4, 85.26
pos, zero-shot, NA, 0.1, 0, 100000, mdf, 4, 73.63
pos, zero-shot, NA, 0.1, 0, 100000, olo, 4, 82.8
pos, zero-shot, NA, 0.1, 0, 100000, sms, 4, 57.25
pos, few-shot, 0.2, 0.2, 131074, 100000, myv, 1, 66.24
pos, few-shot, 0.2, 0.2, 131074, 100000, myv, 2, 57.11
pos, few-shot, 0.2, 0.2, 131074, 100000, myv, 3, 61.06
pos, few-shot, 0.2, 0.2, 131074, 100000, myv, 4, 68.33
pos, few-shot, 0.2, 0.2, 131074, 100000, sme, 1, 66.15
pos, few-shot, 0.2, 0.2, 131074, 100000, sme, 2, 63.46
pos, few-shot, 0.2, 0.2, 131074, 100000, sme, 3, 61.65
pos, few-shot, 0.2, 0.2, 131074, 100000, sme, 4, 59.02
pos, few-shot, 0.2, 0.2, 131074, 100000, et, 1, 80.75
pos, few-shot, 0.2, 0.2, 131074, 100000, et, 2, 83.78
pos, few-shot, 0.2, 0.2, 131074, 100000, et, 3, 78.49
pos, few-shot, 0.2, 0.2, 131074, 100000, et, 4, 82.7
pos, few-shot, 0.2, 0.2, 131074, 100000, fi, 1, 75.02
pos, few-shot, 0.2, 0.2, 131074, 100000, fi, 2, 82.38
pos, few-shot, 0.2, 0.2, 131074, 100000, fi, 3, 76.22
pos, few-shot, 0.2, 0.2, 131074, 100000, fi, 4, 80.82
pos, few-shot, 0.2, 0.2, 131074, 100000, hu, 1, 86.49
pos, few-shot, 0.2, 0.2, 131074, 100000, hu, 2, 88.95
pos, few-shot, 0.2, 0.2, 131074, 100000, hu, 3, 88.28
pos, few-shot, 0.2, 0.2, 131074, 100000, hu, 4, 89.76
pos, few-shot, 0.2, 0.2, 131074, 100000, ru, 1, 86.76
pos, few-shot, 0.2, 0.2, 131074, 100000, ru, 2, 85.97
pos, few-shot, 0.2, 0.2, 131074, 100000, ru, 3, 86.39
pos, few-shot, 0.2, 0.2, 131074, 100000, ru, 4, 86.83
pos, zero-shot, NA, 0.3, 0, 100000, kpv, 1, 67.08
pos, zero-shot, NA, 0.3, 0, 100000, krl, 1, 84.74
pos, zero-shot, NA, 0.3, 0, 100000, mdf, 1, 70.67
pos, zero-shot, NA, 0.3, 0, 100000, olo, 1, 82.12
pos, zero-shot, NA, 0.3, 0, 100000, sms, 1, 55.52
pos, zero-shot, NA, 0.3, 0, 100000, kpv, 2, 66.23
pos, zero-shot, NA, 0.3, 0, 100000, krl, 2, 85.36
pos, zero-shot, NA, 0.3, 0, 100000, mdf, 2, 70.86
pos, zero-shot, NA, 0.3, 0, 100000, olo, 2, 81.65
pos, zero-shot, NA, 0.3, 0, 100000, sms, 2, 55.21
pos, zero-shot, NA, 0.3, 0, 100000, kpv, 3, 66.93
pos, zero-shot, NA, 0.3, 0, 100000, krl, 3, 85.0
pos, zero-shot, NA, 0.3, 0, 100000, mdf, 3, 70.35
pos, zero-shot, NA, 0.3, 0, 100000, olo, 3, 82.59
pos, zero-shot, NA, 0.3, 0, 100000, sms, 3, 55.28
pos, zero-shot, NA, 0.3, 0, 100000, kpv, 4, 65.82
pos, zero-shot, NA, 0.3, 0, 100000, krl, 4, 84.39
pos, zero-shot, NA, 0.3, 0, 100000, mdf, 4, 70.67
pos, zero-shot, NA, 0.3, 0, 100000, olo, 4, 81.52
pos, zero-shot, NA, 0.3, 0, 100000, sms, 4, 55.63
pos, few-shot, 0.2, 0.1, 16386, 100000, myv, 1, 60.72
pos, few-shot, 0.2, 0.1, 16386, 100000, myv, 2, 61.4
pos, few-shot, 0.2, 0.1, 16386, 100000, myv, 3, 66.29
pos, few-shot, 0.2, 0.1, 16386, 100000, myv, 4, 66.47
pos, few-shot, 0.2, 0.1, 16386, 100000, sme, 1, 67.16
pos, few-shot, 0.2, 0.1, 16386, 100000, sme, 2, 68.14
pos, few-shot, 0.2, 0.1, 16386, 100000, sme, 3, 68.03
pos, few-shot, 0.2, 0.1, 16386, 100000, sme, 4, 58.81
pos, few-shot, 0.2, 0.1, 16386, 100000, et, 1, 76.8
pos, few-shot, 0.2, 0.1, 16386, 100000, et, 2, 69.63
pos, few-shot, 0.2, 0.1, 16386, 100000, et, 3, 77.95
